Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,
Platform: Drakewell  1421 (Automatic Traffic Counter) ,,,,,,,,
,,,,,,,,
timestamp,Vehicle count  - Motorcycles northbound ,Vehicle count  - Cars and Light Vans northbound ,Vehicle count  - Cars with Trailer northbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northbound ,Vehicle count  - Articulated HGVs northbound ,Vehicle count  - Buses and Coaches northbound ,Vehicle speed  - Vehicles Speed northbound (km/h)
07/05/2022 20:00,0,0,0,0,0,0,0,
07/05/2022 21:00,0,0,0,0,0,0,0,
07/05/2022 22:00,0,0,0,0,0,0,0,
07/05/2022 23:00,0,0,0,0,0,0,0,
08/05/2022 00:00,0,0,0,0,0,0,0,
08/05/2022 01:00,0,0,0,0,0,0,0,
08/05/2022 02:00,0,0,0,0,0,0,0,
08/05/2022 03:00,0,0,0,0,0,0,0,
08/05/2022 04:00,0,0,0,0,0,0,0,
08/05/2022 05:00,0,0,0,0,0,0,0,
08/05/2022 06:00,0,0,0,0,0,0,0,
08/05/2022 07:00,0,0,0,0,0,0,0,
08/05/2022 08:00,0,0,0,0,0,0,0,
08/05/2022 09:00,0,0,0,0,0,0,0,
08/05/2022 10:00,0,0,0,0,0,0,0,
08/05/2022 11:00,0,0,0,0,0,0,0,
08/05/2022 12:00,0,0,0,0,0,0,0,
08/05/2022 13:00,0,0,0,0,0,0,0,
08/05/2022 14:00,0,0,0,0,0,0,0,
08/05/2022 15:00,0,0,0,0,0,0,0,
08/05/2022 16:00,0,0,0,0,0,0,0,
08/05/2022 17:00,0,0,0,0,0,0,0,
08/05/2022 18:00,0,0,0,0,0,0,0,
08/05/2022 19:00,0,0,0,0,0,0,0,
08/05/2022 20:00,0,0,0,0,0,0,0,
08/05/2022 21:00,0,0,0,0,0,0,0,
08/05/2022 22:00,0,0,0,0,0,0,0,
08/05/2022 23:00,0,0,0,0,0,0,0,
09/05/2022 00:00,0,0,0,0,0,0,0,
09/05/2022 01:00,0,0,0,0,0,0,0,
09/05/2022 02:00,0,0,0,0,0,0,0,
09/05/2022 03:00,0,0,0,0,0,0,0,
09/05/2022 04:00,0,0,0,0,0,0,0,
09/05/2022 05:00,0,0,0,0,0,0,0,
09/05/2022 06:00,0,0,0,0,0,0,0,
09/05/2022 07:00,3,1,0,4,1,0,1.33,
09/05/2022 08:00,0,5,0,0,0,0,1,
09/05/2022 09:00,1,2,0,0,1,0,2.68,
09/05/2022 10:00,0,2,0,0,0,0,0.67,
09/05/2022 11:00,1,7,0,3,1,0,3.58,
09/05/2022 12:00,0,0,0,0,0,0,0,
09/05/2022 13:00,0,0,0,0,1,0,1.01,
09/05/2022 14:00,0,5,0,0,2,0,2.68,
09/05/2022 15:00,1,0,0,0,2,0,1,
09/05/2022 16:00,0,0,0,0,0,0,0,
09/05/2022 17:00,0,0,0,0,0,0,0,
09/05/2022 18:00,0,0,0,0,0,0,0,
09/05/2022 19:00,0,0,0,0,0,0,0,
09/05/2022 20:00,0,0,0,0,0,0,0,
09/05/2022 21:00,0,0,0,0,0,0,0,
09/05/2022 22:00,0,0,0,0,0,0,0,
09/05/2022 23:00,0,0,0,0,0,0,0,
10/05/2022 00:00,0,0,0,0,0,0,0,
10/05/2022 01:00,0,0,0,0,0,0,0,
10/05/2022 02:00,0,0,0,0,0,0,0,
10/05/2022 03:00,0,0,0,0,0,0,0,
10/05/2022 04:00,0,0,0,0,0,0,0,
10/05/2022 05:00,0,0,0,0,0,0,0,
10/05/2022 06:00,0,0,0,0,0,0,0,
10/05/2022 07:00,0,3,0,0,0,0,2.35,
10/05/2022 08:00,0,1,0,0,0,0,0.33,
10/05/2022 09:00,2,3,0,0,1,0,2.68,
10/05/2022 10:00,0,0,0,0,0,0,0,
10/05/2022 11:00,2,0,0,0,1,0,1.68,
10/05/2022 12:00,0,4,0,0,1,0,1.33,
10/05/2022 13:00,1,0,0,1,0,0,0.33,
10/05/2022 14:00,3,5,0,0,0,0,3.24,
10/05/2022 15:00,1,5,0,0,0,0,1.33,
10/05/2022 16:00,0,0,0,0,0,0,0,
10/05/2022 17:00,0,0,0,0,0,0,0,
10/05/2022 18:00,0,0,0,0,0,0,0,
10/05/2022 19:00,0,0,0,0,0,0,0,
10/05/2022 20:00,0,0,0,0,0,0,0,
10/05/2022 21:00,0,0,0,0,0,0,0,
10/05/2022 22:00,0,0,0,0,0,0,0,
10/05/2022 23:00,0,0,0,0,0,0,0,
